"","SiteCode","latitude","longitude"
"809","123",49.371103,-123.294403
"810","124",49.375609,-123.293111
"811","107",49.330736,-123.31524
"812","125",49.378236,-123.287388
"813","129",49.37837,-123.272591
"814","13",49.437235,-123.240193
"815","108",49.330627,-123.308007
"816","110",49.330671,-123.293762
"817","11",49.427671,-123.237105
"818","106",49.331018,-123.322729
"819","14",49.442095,-123.241247
"820","16",49.451219,-123.243436
"821","18",49.460844,-123.244384
"822","19",49.465484,-123.245618
"823","21",49.474556,-123.247567
"824","15",49.446756,-123.242404
"825","17",49.456056,-123.243797
"826","20",49.470001,-123.247332
"827","22",49.479023,-123.247567
"828","25",49.492599,-123.250056
"829","24",49.487718,-123.250791
"830","23",49.48323,-123.249725
"831","2",49.387771,-123.264509
"832","27",49.50171,-123.252074
"833","28",49.504876,-123.256759
"834","26",49.497416,-123.250203
"835","31",49.507215,-123.278198
"836","3",49.391913,-123.260977
"837","33",49.507345,-123.293027
"838","34",49.507692,-123.300542
"839","29",49.506632,-123.263804
"840","30",49.507193,-123.270985
"841","35",49.50908,-123.307522
"842","37",49.515459,-123.319395
"843","38",49.51962,-123.323847
"844","39",49.524084,-123.326195
"845","36",49.5119,-123.313628
"846","32",49.507258,-123.285646
"847","41",49.504092,-123.30498
"848","4",49.396184,-123.257678
"849","42",49.49991,-123.302472
"850","40",49.528321,-123.327779
"851","44",49.491512,-123.298169
"852","45",49.487112,-123.2982
"853","50",49.465779,-123.311512
"854","5",49.400629,-123.254067
"855","43",49.495876,-123.300169
"856","46",49.482582,-123.299897
"857","48",49.473906,-123.305705
"858","52",49.456385,-123.312661
"859","53",49.451871,-123.313655
"860","54",49.44745,-123.315705
"861","55",49.445191,-123.32058
"862","56",49.443963,-123.327149
"863","57",49.440518,-123.331586
"864","58",49.436302,-123.335055
"865","59",49.432551,-123.339456
"866","61",49.426009,-123.349127
"867","6",49.405053,-123.250601
"868","51",49.461094,-123.312151
"869","66",49.410586,-123.376562
"870","67",49.407232,-123.38137
"871","68",49.404923,-123.387262
"872","69",49.4026,-123.393792
"873","7",49.409499,-123.247281
"874","72",49.393798,-123.412373
"875","74",49.387293,-123.424067
"876","75",49.384062,-123.429929
"877","49",49.469963,-123.309337
"878","62",49.422997,-123.354729
"879","64",49.417113,-123.366164
"880","71",49.396834,-123.406576
"881","60",49.429187,-123.344024
"882","70",49.39968,-123.400293
"883","76",49.38083,-123.43597
"884","79",49.374753,-123.455392
"885","81",49.369857,-123.46659
"886","82",49.365497,-123.469726
"887","83",49.360989,-123.471769
"888","85",49.351272,-123.469857
"889","87",49.345417,-123.458898
"890","89",49.340684,-123.445396
"891","91",49.336892,-123.432341
"892","9",49.417909,-123.23924
"893","93",49.334061,-123.418127
"894","63",49.420103,-123.360496
"895","65",49.414012,-123.371599
"896","73",49.390567,-123.418238
"897","77",49.377711,-123.44172
"898","80",49.373233,-123.461956
"899","8",49.413728,-123.243304
"900","84",49.356133,-123.471963
"901","88",49.342945,-123.452176
"902","78",49.375609,-123.448078
"903","47",49.478048,-123.302368
"904","86",49.347824,-123.465195
"905","90",49.338712,-123.439004
"906","94",49.333442,-123.411043
"907","98",49.33313,-123.38135
"908","99",49.333209,-123.373849
"909","96",49.332908,-123.396458
"910","97",49.33305,-123.388909
"911","95",49.332961,-123.40382
"912","92",49.335113,-123.425153
