"","RouteIdentifier","latitude","longitude"
"153","LMWR-3",49.020206,-122.846207
"154","SCPR-4",49.774014,-124.367668
"155","GIHO-12",49.48737,-124.660103
"156","VIBM-2",48.835426,-125.13755
"157","VIVI-39",48.665154,-123.392227
"158","GIGB-3",49.206257,-123.825882
"159","SCPR-3",49.766373,-124.340492
"160","LMVN-60",49.373238,-123.297897
"161","LMVN-42",49.325691,-122.907631
"162","VIVI-35",48.585434,-123.362808
"163","LMVN-5",49.040604,-123.039932
"164","VIVI-41",48.679447,-123.396461
"165","VIPM-4",50.485336,-126.095451
"166","GIGA-1",48.895752,-123.407608
"167","LMSQ-2",49.695358,-123.184853
"168","NCPR-1",54.312641,-130.344727
"169","VINN-13",49.145134,-123.916481
"170","GIPE-3",48.759563,-123.207329
"171","LMVN-53",49.33408,-123.2201
"172","VIPR-14",49.116837,-125.87468
"173","SCPR-1",49.816643,-124.530579
"174","LMVN-67",49.271713,-123.197548
"175","GIDE-1",49.610195,-124.845947
"176","LMVN-39",49.285957,-122.85144
"177","VIPR-16",48.984371,-125.392029
"178","VINN-3",49.260174,-124.104401
"179","VICX-6",49.664051,-124.961967
"180","VICV-3",48.630264,-123.523048
"181","VIPQ-2",49.319042,-124.252357
"182","VICX-2",49.665882,-124.913353
"183","GIDE-5",49.504375,-124.779793
"184","SCBI-1",49.396061,-123.3116
"185","GIGB-4",49.193161,-123.866173
"186","VIVI-8",48.314869,-123.663559
"187","GIHO-2",49.527081,-124.605789
"188","VIPR-17",48.954342,-125.431778
"189","LMVN-65",49.023018,-123.11837
"190","GIGB-1",49.151684,-123.695839
"191","GIPE-11",48.776089,-123.271278
"192","SCGI-6",49.435112,-123.7202
"193","VICX-8",49.640892,-124.916191
"194","VICX-4",49.675915,-124.962532
"195","VIVI-44",48.657452,-123.461662
"196","LMVN-3",49.067444,-122.954559
"197","VIBM-3",48.835938,-125.1987
"198","LMVN-59",49.360252,-123.292068
"199","VIVI-4",48.372673,-123.712235
"200","LMSQ-10",49.71405,-123.161438
"201","GIHO-15",NA,NA
"202","LMVN-14",49.226131,-123.236443
"203","GIPE-6",48.76207,-123.284752
"204","GISS-4",48.789749,-123.520569
"205","GIHO-18",49.511909,-124.601883
"206","GIGB-2",49.137474,-123.788544
"207","VICV-5",48.795532,-123.667999
"208","VIPQ-1",49.334106,-124.287216
"209","LMVN-55",49.328201,-123.256508
"210","LMVN-56",49.330524,-123.273453
"211","VICV-4",48.777687,-123.679764
"212","GIMA-6",48.840614,-123.335587
"213","LMVN-31",49.293697,-123.118553
"214","GIQD-4",50.047791,-125.220352
"215","LMVN-41",49.30439,-122.932037
"216","GIPE-15",48.791954,-123.318443
"217","VIPR-12",48.928848,-125.532288
"218","LMSQ-7",49.698761,-123.175003
"219","GIHO-19",49.512775,-124.585518
"220","VIVI-38",48.64846,-123.389313
"221","LMVN-30",49.306599,-123.126289
"222","LMSQ-9",49.712414,-123.164711
"223","GISS-2",48.827644,-123.393211
"224","VIVI-54",48.417042,-123.41481
"225","GILA-2",49.510181,-124.256348
"226","VIPA-1",49.151897,-124.799843
"227","GIPE-14",48.81218,-123.273727
"228","LMSQ-20",49.710426,-123.150291
"229","GIHO-4",49.543369,-124.633522
"230","LMVN-26",49.289322,-123.154358
"231","VIVI-5",48.38245,-123.660789
"232","GISS-3",48.840954,-123.413315
"233","VIVI-58",48.427128,-123.46711
"234","CCAD-1",51.603359,-127.86364
"235","VIVI-46",48.591164,-123.481697
"236","VIVI-31",48.501163,-123.32
"237","VICX-16",49.556,-124.862534
"238","GIHO-9",49.513599,-124.711884
"239","VINN-17",49.12468,-123.800369
"240","GIMA-2",48.813847,-123.245461
"241","VICX-5",49.675499,-124.975212
"242","GILA-3",49.503494,-124.252861
"243","VINN-15",49.153797,-123.897362
"244","VICX-19",49.615421,-124.904282
"245","GIPE-9",48.804417,-123.272995
"246","NCKI-4",53.914066,-128.752808
"247","LMVN-17",49.267719,-123.268913
"248","VICV-7",48.746307,-123.625557
"249","VICX-1",49.734264,-124.894592
"250","VIPA-3",49.179062,-124.821198
"251","LMVN-20",49.280998,-123.211693
"252","LMVN-64",49.295654,-123.140465
"253","VIPM-1",50.593685,-127.099564
"254","SCBI-9",49.34388,-123.434921
"255","VIMA-5",50.618801,-126.951134
"256","LMVN-16",49.250198,-123.255188
"257","VINN-6",49.24453,-124.004539
"258","GIHO-22",49.538261,-124.621384
"259","QCSK-4",53.258114,-131.81221
"260","LMVN-19",49.283455,-123.228523
"261","GISA-7",48.800133,-123.198441
"262","VINN-14",49.179527,-123.910423
"263","VIZE-1",49.977085,-126.851448
"264","VINN-11",49.182484,-123.943077
"265","NCPR-4",54.324192,-130.320801
"266","LMVN-27",49.300877,-123.163277
"267","NCKI-2",54.022564,-128.624359
"268","GISA-2",48.777081,-123.045967
"269","GIHO-14",49.503929,-124.626747
"270","LMVN-34",49.293617,-123.037277
"271","GIPE-16",48.762455,-123.309242
"272","VICH-2",48.929092,-123.715988
"273","LMVN-58",49.351635,-123.278259
"274","VIVI-34",48.563267,-123.381569
"275","VIVI-37",48.618828,-123.395607
