OID_,abbrev,name,count_yr,country_code,description,distance,distance_unit,hours
1,BCBA,Bamfield,90,CA,car,22.000000000000000,Miles,2.000000000000000
2,BCBA,Bamfield,90,CA,foot,9.000000000000000,Miles,15.000000000000000
3,BCCB,Cranbrook,90,CA,foot,2.000000000000000,Miles,0.500000000000000
4,BCCB,Cranbrook,90,CA,car,88.000000000000000,Miles,6.500000000000000
5,BCCH,Chilliwack,90,CA,foot,27.000000000000000,Miles,22.000000000000000
6,BCCH,Chilliwack,90,CA,car,373.000000000000000,Miles,52.000000000000000
7,BCCO,Comox,90,CA,car,330.000000000000000,Miles,78.000000000000000
8,BCCO,Comox,90,CA,foot,36.000000000000000,Miles,18.000000000000000
9,BCCR,Campbell River,90,CA,car,134.000000000000000,Miles,34.500000000000000
10,BCCR,Campbell River,90,CA,foot,38.000000000000000,Miles,34.000000000000000
11,BCDB,Deep Bay,90,CA,foot,15.000000000000000,Miles,8.000000000000000
12,BCDB,Deep Bay,90,CA,car,110.000000000000000,Miles,32.000000000000000
13,BC04,Creston,91,CA,foot,0.000000000000000,Miles,0.000000000000000
14,BC04,Creston,91,CA,car,163.000000000000000,Miles,21.000000000000000
15,BCBA,Bamfield,91,CA,car,38.000000000000000,Miles,2.000000000000000
16,BCBA,Bamfield,91,CA,foot,6.000000000000000,Miles,8.000000000000000
17,BCBL,Burns Lake-Francois Lake,91,CA,foot,23.000000000000000,Miles,19.500000000000000
18,BCBL,Burns Lake-Francois Lake,91,CA,car,330.000000000000000,Miles,27.500000000000000
19,BCCB,Cranbrook,91,CA,car,162.000000000000000,Miles,23.500000000000000
20,BCCB,Cranbrook,91,CA,foot,0.000000000000000,Miles,0.500000000000000
21,BCCH,Chilliwack,91,CA,foot,18.000000000000000,Miles,15.000000000000000
22,BCCH,Chilliwack,91,CA,car,282.000000000000000,Miles,53.000000000000000
23,BCCO,Comox,91,CA,foot,29.000000000000000,Miles,30.000000000000000
24,BCCO,Comox,91,CA,car,321.000000000000000,Miles,66.000000000000000
25,BCCR,Campbell River,91,CA,foot,38.000000000000000,Miles,35.299999999999997
26,BCCR,Campbell River,91,CA,car,147.000000000000000,Miles,39.299999999999997
27,BCDB,Deep Bay,91,CA,foot,14.000000000000000,Miles,15.000000000000000
28,BCDB,Deep Bay,91,CA,car,97.000000000000000,Miles,25.000000000000000
29,BCBA,Bamfield,92,CA,foot,5.000000000000000,Miles,6.000000000000000
30,BCBA,Bamfield,92,CA,car,40.000000000000000,Miles,2.000000000000000
31,BCBL,Burns Lake-Francois Lake,92,CA,car,138.000000000000000,Miles,63.000000000000000
32,BCBL,Burns Lake-Francois Lake,92,CA,foot,17.000000000000000,Miles,17.000000000000000
33,BCCB,Cranbrook,92,CA,foot,7.000000000000000,Miles,7.000000000000000
34,BCCB,Cranbrook,92,CA,car,243.000000000000000,Miles,21.000000000000000
35,BCCH,Chilliwack,92,CA,foot,54.000000000000000,Miles,23.000000000000000
36,BCCH,Chilliwack,92,CA,car,373.000000000000000,Miles,56.000000000000000
37,BCCO,Comox,92,CA,foot,39.000000000000000,Miles,20.000000000000000
38,BCCO,Comox,92,CA,car,348.000000000000000,Miles,84.000000000000000
39,BCCR,Campbell River,92,CA,foot,46.000000000000000,Miles,37.500000000000000
40,BCCR,Campbell River,92,CA,car,204.000000000000000,Miles,43.000000000000000
41,BCDB,Deep Bay,92,CA,foot,16.000000000000000,Miles,8.000000000000000
42,BCDB,Deep Bay,92,CA,car,130.000000000000000,Miles,32.000000000000000
43,BCBA,Bamfield,93,CA,car,75.000000000000000,Miles,4.000000000000000
44,BCBA,Bamfield,93,CA,foot,7.000000000000000,Miles,9.000000000000000
45,BCBL,Burns Lake-Francois Lake,93,CA,car,219.000000000000000,Miles,29.000000000000000
46,BCBL,Burns Lake-Francois Lake,93,CA,foot,14.000000000000000,Miles,16.000000000000000
47,BCCB,Cranbrook,93,CA,car,193.000000000000000,Miles,17.000000000000000
48,BCCB,Cranbrook,93,CA,foot,7.000000000000000,Miles,9.000000000000000
49,BCCH,Chilliwack,93,CA,car,282.000000000000000,Miles,54.500000000000000
50,BCCH,Chilliwack,93,CA,foot,14.000000000000000,Miles,12.000000000000000
51,BCCO,Comox,93,CA,car,259.000000000000000,Miles,81.000000000000000
52,BCCO,Comox,93,CA,foot,23.000000000000000,Miles,23.000000000000000
53,BCCR,Campbell River,93,CA,foot,21.000000000000000,Miles,24.500000000000000
54,BCCR,Campbell River,93,CA,car,60.000000000000000,Miles,11.500000000000000
55,BCDB,Deep Bay,93,CA,car,114.000000000000000,Miles,30.000000000000000
56,BCDB,Deep Bay,93,CA,foot,13.000000000000000,Miles,10.000000000000000
57,BCBA,Bamfield,94,CA,foot,6.000000000000000,Miles,6.000000000000000
58,BCBA,Bamfield,94,CA,car,25.000000000000000,Miles,1.000000000000000
59,BCBL,Burns Lake-Francois Lake,94,CA,foot,10.000000000000000,Miles,8.000000000000000
60,BCBL,Burns Lake-Francois Lake,94,CA,car,216.000000000000000,Miles,16.000000000000000
61,BCCB,Cranbrook,94,CA,car,106.000000000000000,Miles,11.000000000000000
62,BCCB,Cranbrook,94,CA,foot,2.000000000000000,Miles,3.000000000000000
63,BCCH,Chilliwack,94,CA,car,392.000000000000000,Miles,75.000000000000000
64,BCCH,Chilliwack,94,CA,foot,29.000000000000000,Miles,18.500000000000000
65,BCCO,Comox,94,CA,car,290.000000000000000,Miles,89.000000000000000
66,BCCO,Comox,94,CA,foot,37.000000000000000,Miles,10.000000000000000
