"","field_order","version","local_name"
"133",133,"BMDE2.00","ObservationDescriptor2"
"134",134,"BMDE2.00","ObservationCount3"
"135",135,"BMDE2.00","ObservationDescriptor3"
"136",136,"BMDE2.00","ObservationCount4"
"137",137,"BMDE2.00","ObservationDescriptor4"
"138",138,"BMDE2.00","ObservationCount5"
"139",139,"BMDE2.00","ObservationDescriptor5"
"140",140,"BMDE2.00","ObservationCount6"
"141",141,"BMDE2.00","ObservationDescriptor6"
"142",142,"BMDE2.00","ObsCountAtLeast"
"143",143,"BMDE2.00","ObsCountAtMost"
"144",144,"BMDE2.00","ObservationDate"
"145",145,"BMDE2.00","DateUncertaintyInDays"
"146",146,"BMDE2.00","AllIndividualsReported"
"147",147,"BMDE2.00","AllSpeciesReported"
"148",148,"BMDE2.00","UTMZone"
"149",149,"BMDE2.00","UTMNorthing"
"150",150,"BMDE2.00","UTMEasting"
"151",151,"BMDE2.00","CoordinatesUncertaintyInDecimalDegrees"
"152",152,"BMDE2.00","CommonName"
"153",153,"BMDE2.00","RecordPermissions"
"154",154,"BMDE2.00","MultiScientificName1"
"155",155,"BMDE2.00","MultiScientificName2"
"156",156,"BMDE2.00","MultiScientificName3"
"157",157,"BMDE2.00","MultiScientificName4"
"158",158,"BMDE2.00","MultiScientificName5"
"159",159,"BMDE2.00","MultiScientificName6"
"160",160,"BMDE2.00","TaxonomicAuthorityAuthors"
"161",161,"BMDE2.00","TaxonomicAuthorityVersion"
"162",162,"BMDE2.00","TaxonomicAuthorityYear"
"163",163,"BMDE2.00","SpeciesCode"
"164",164,"BMDE2.00","TaxonConceptID"
"165",165,"BMDE2.00","BreedingBirdAtlasCode"
"166",166,"BMDE2.00","HabitatDescription"
"167",167,"BMDE2.00","Remarks2"
"168",168,"BMDE2.00","LastModifiedAction"
"169",169,"BMDE2.00","RecordReviewStatus"
